2-(1,3-BENZODIOXOL-5-YL)-5-[(3-FLUORO-4-METHOXYBENZYL)SULFANYL]-1,3,4-OXADIAZOLE	GSK3B
SIBUTRAMINE	SLC6A3
SIBUTRAMINE	SLC6A2
SIBUTRAMINE	SLC6A4
NEFLAMAPIMOD	MAPK14
CASOPITANT	TACR1
CASOPITANT	CYP3A4
PALIVIZUMAB	FCGR1A
PALIVIZUMAB	C1QA
PALIVIZUMAB	FCGR2B
PALIVIZUMAB	FCGR3A
PALIVIZUMAB	FCGR2A
PALIVIZUMAB	C1QC
PALIVIZUMAB	C1R
PALIVIZUMAB	FCGR3B
PALIVIZUMAB	C1QB
PALIVIZUMAB	FCGR2C
WX-G250	CA9
WX-G250	IL2
TURPENTINE	MAPK1
HYALURONIDASE	TGFB1
COENZYME A	KAT2A
COENZYME A	DBI
COENZYME A	ACAT2
COENZYME A	CRAT
COENZYME A	CS
COENZYME A	KAT5
COENZYME A	HMGCR
COENZYME A	KAT2B
DYDROGESTERONE	PGR
TRANYLCYPROMINE	MAOA
TRANYLCYPROMINE	MAOB
ACEBUTOLOL	ADRB1
ACEBUTOLOL	ADRB2
PARAMETHASONE	NR3C1
GUSELKUMAB	IL23A
ISIS 113715	PTPN1
TRIGLU-5-FORMYL-TETRAHYDROFOLATE	SHMT1
CLOTIAZEPAM	GABRE
CLOTIAZEPAM	GABRG2
CLOTIAZEPAM	GABRA5
CLOTIAZEPAM	GABRG3
CLOTIAZEPAM	GABRP
CLOTIAZEPAM	GABRB3
CLOTIAZEPAM	GABRR1
CLOTIAZEPAM	GABRG1
CLOTIAZEPAM	GABRB2
CLOTIAZEPAM	GABRR3
CLOTIAZEPAM	GABRR2
CLOTIAZEPAM	GABRA3
CLOTIAZEPAM	GABRA1
CLOTIAZEPAM	GABRD
CLOTIAZEPAM	GABRB1
CLOTIAZEPAM	GABRA2
(4AS)-5-[(2,4-DIAMINOPTERIDIN-6-YL)METHYL]-4A,5-DIHYDRO-2H-DIBENZO[B,F]AZEPIN-8-OL	DHFR
ASTEMIZOLE	MAPT
ASTEMIZOLE	KCNH2
ASTEMIZOLE	HRH1
ASTEMIZOLE	KCNH1
BENZYLPENICILLIN	SLC22A8
BENZYLPENICILLIN	SLC15A2
BENZYLPENICILLIN	SLC15A1
DEOXYCYTIDYLYL-3,5-GUANOSINE	RNASE1
[(3R)-7-NITRO-1,2,3,4-TETRAHYDROISOQUINOLIN-3-YL]METHANOL	PNMT
S-ISOPROPYL-ISOTHIOUREA	NOS3
TYLOXAPOL	LPL
4-DIPHOSPHOCYTIDYL-2-C-METHYL-D-ERYTHRITOL	ISPD
MACIMORELIN	GHSR
PAROXETINE	SLC6A4
PAROXETINE	SLC6A2
PAROXETINE	CHRM4
PAROXETINE	CHRM2
PAROXETINE	CHRM1
PAROXETINE	CHRM3
PAROXETINE	HTR2A
PAROXETINE	CHRM5
2-{[4-(4-PYRIDIN-4-YL-1H-PYRAZOL-3-YL)PHENOXY]METHYL}QUINOLINE	PDE10A
1-(4-TERT-BUTYLCARBAMOYL-PIPERAZINE-1-CARBONYL)-3-(3-GUANIDINO-PROPYL)-4-OXO-AZETIDINE-2-CARBOXYLIC ACID	PRSS1
MALONATE ION	SDF2
5-(2-HYDROXYETHYL)NONANE-1,9-DIOL	ECE1
METHOXY ARACHIDONYL FLUOROPHOSPHONATE	FAAH
4-[3-(4-CHLOROPHENYL)-2,1-BENZISOXAZOL-5-YL]PYRIMIDIN-2-AMINE	PIM1
2,5-DICHLORO-N-(5-CHLORO-1,3-BENZOXAZOL-2-YL)BENZENESULFONAMIDE	FBP1
N-(2,3-DIFLUORO-BENZYL)-4-SULFAMOYL-BENZAMIDE	CA2
P-ANISIC ACID	PLA2G2E
P-ANISIC ACID	PLA2G1B
5-CYANO-N-(2,5-DIMETHOXYBENZYL)-6-ETHOXYPYRIDINE-2-CARBOXAMIDE	MAPK8IP1
5-CYANO-N-(2,5-DIMETHOXYBENZYL)-6-ETHOXYPYRIDINE-2-CARBOXAMIDE	MAPK8
TOLMETIN	PTGS1
TOLMETIN	PTGS2
5-{[1-(2-FLUOROBENZYL)PIPERIDIN-4-YL]METHOXY}QUINAZOLINE-2,4-DIAMINE	DCPS
4-(AMINOSULFONYL)-N-[(2,5-DIFLUOROPHENYL)METHYL]-BENZAMIDE	CA2
4-(2-AMINO-1,3-THIAZOL-4-YL)PHENOL	LTA4H
9-BUTYL-8-(4-METHOXYBENZYL)-9H-PURIN-6-AMINE	HSP90AA1
FR236913	ADA
N-ACETYLALANINE	AKR1B1
RI 624	NGF
HEXESTROL	AKR1C1
HEXESTROL	NR1I2
HEXESTROL	NR1I3
HEXESTROL	ESR1
PLECANATIDE	GUCY1A2
WF10	CD163
WF10	MAEA
HEXANOYL-COA	ECHS1
N-ACETYL-D-GLUCOSAMINE-6-PHOSPHATE	GNPDA1
(1N)-4-N-BUTOXYPHENYLSULFONYL-(2R)-N-HYDROXYCARBOXAMIDO-(4S)-METHANESULFONYLAMINO-PYRROLIDINE	MMP3
MF101	ESR2
RESERPINE	SLC18A2
RESERPINE	BIRC5
RESERPINE	SLC18A1
AMINOSALICYLIC ACID	PTGS2
AMINOSALICYLIC ACID	PLA2G2E
AMINOSALICYLIC ACID	CHUK
AMINOSALICYLIC ACID	ALOX5
SC12267	DHODH
ESTRONE SULFATE	ESR1
ESTRONE SULFATE	ESR2
AC162352	NPY1R
AC162352	NPY4R
AC162352	NPY2R
AC162352	NPY5R
(2R)-3-{[(BENZYLAMINO)CARBONYL]AMINO}-2-HYDROXYPROPANOIC ACID	CELA1
1-(3-(2,4-DIMETHYLTHIAZOL-5-YL)-4-OXO-2,4-DIHYDROINDENO[1,2-C]PYRAZOL-5-YL)-3-(4-METHYLPIPERAZIN-1-YL)UREA	CDK2
RHIGFBP-3	IGF1R
ETIPREDNOL DICLOACETATE	IL1B
BAMBUTEROL	ADRB2
FLORBETABEN (18F)	APP
PHOSPHORYLISOPROPANE	CTRB1
PHOSPHORYLISOPROPANE	PRSS1
PHOSPHORYLISOPROPANE	PRSS2
(S)-N-(4-CARBAMIMIDOYLBENZYL)-1-(3-CYCLOHEXYLPROPANOYL)PYRROLIDINE-2-CARBOXAMIDE	PRSS1
(S)-N-(4-CARBAMIMIDOYLBENZYL)-1-(3-CYCLOHEXYLPROPANOYL)PYRROLIDINE-2-CARBOXAMIDE	F2
DIHYDROGENPHOSPHATE ION	DCXR
3-PYRIDIN-4-YL-2,4-DIHYDRO-INDENO[1,2-.C.] PYRAZOLE	PKIA
3-PYRIDIN-4-YL-2,4-DIHYDRO-INDENO[1,2-.C.] PYRAZOLE	PRKACA
TRIAZOLOPYRIMIDINE	CDK2
(E)-(2R,3R,4S,5R)-3,4,5-TRIHYDROXY-2-METHOXY-8,8-DIMETHYL-NON-6-ENOIC ACID ((3S,6R)-6-HYDROXY-2-OXO-AZEPAN-3-YL)-AMIDE	METAP2
DIPHTHAMIDE	EEF2
D-1-(4-CHLOROPHENYL)-2-(ACETAMIDO)ETHANE BORONIC ACID	CTRB1
CYSTEAMINE	SST
CYSTEAMINE	NPY2R
NINTEDANIB	FLT1
NINTEDANIB	FGFR1
NINTEDANIB	LYN
NINTEDANIB	FLT4
NINTEDANIB	FLT3
NINTEDANIB	FGFR2
NINTEDANIB	LCK
NINTEDANIB	KDR
NINTEDANIB	SRC
NINTEDANIB	FGFR3
4-[(4-O-SULFAMOYLBENZYL)(4-CYANOPHENYL)AMINO]-4H-[1,2,4]-TRIAZOLE	CA2
N-[1-(AMINOMETHYL)CYCLOPROPYL]-3-(MORPHOLIN-4-YLSULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-FLUOROPHENYL)ETHYL]-L-ALANINAMIDE	CTSS
AFELIMOMAB	TNF
TRANDOLAPRIL	ACE
INSULIN PORK	SYTL4
INSULIN PORK	HLA-DQB1
INSULIN PORK	PCSK1
INSULIN PORK	RB1
INSULIN PORK	IGFBP7
INSULIN PORK	HLA-DQA2
INSULIN PORK	NOV
INSULIN PORK	INSR
INSULIN PORK	CPE
INSULIN PORK	CTSD
INSULIN PORK	IGF1R
INSULIN PORK	IDE
INSULIN PORK	LRP2
INSULIN PORK	PCSK2
MESORIDAZINE	DRD2
MESORIDAZINE	HTR2A
RANIBIZUMAB	VEGFA
AZILSARTAN MEDOXOMIL	AGTR1
UBENIMEX	LTA4H
N-(CYCLOPROPYLMETHYL)-2-METHYL-5-(5-METHYL-1,3,4-OXADIAZOL-2-YL)BIPHENYL-4-CARBOXAMIDE	MAPK14
L-2-AMINO-4-METHOXY-CIS-BUT-3-ENOIC ACID	MAT1A
(2S)-2-[3-(AMINOMETHYL)PHENYL]-3-{(S)-HYDROXY[(1R)-2-METHYL-1-{[(2-PHENYLETHYL)SULFONYL]AMINO}PROPYL]PHOSPHORYL}PROPANOIC ACID	CPB1
FORMYCIN-5-MONOPHOSPHATE	AMN
3,6,9,12,15-PENTAOXATRICOSAN-1-OL	DHODH
PROGESTERONE	SHBG
PROGESTERONE	ESR1
PROGESTERONE	AR
PROGESTERONE	PGR
PROGESTERONE	NR3C2
PROGESTERONE	CYP17A1
PROGESTERONE	NR1I2
PROGESTERONE	NR3C1
PROGESTERONE	ORM1
PROGESTERONE	OPRK1
EGAPTIVON PEGOL	GP1BA
EGAPTIVON PEGOL	VWF
PENTANE-1,5-DIAMINE	ISPD
5-[3-(2-METHOXYPHENYL)-1H-PYRROLO[2,3-B]PYRIDIN-5-YL]-N,N-DIMETHYLPYRIDINE-3-CARBOXAMIDE	ABL1
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	COL2A1
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	COL1A2
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	COL1A1
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	COL3A1
TELMISARTAN	AGTR1
TELMISARTAN	PPARG
2-METHOXY-6-{(E)-[(4-METHYLPHENYL)IMINO]METHYL}PHENOL	ESR2
2-METHOXY-6-{(E)-[(4-METHYLPHENYL)IMINO]METHYL}PHENOL	ESR1
PHTHALIC ACID	RXRG
PHTHALIC ACID	PPARD
PHTHALIC ACID	PPARG
PHTHALIC ACID	RXRA
PHTHALIC ACID	PPARA
PHTHALIC ACID	PGR
PHTHALIC ACID	RXRB
PHTHALIC ACID	ESR2
PHTHALIC ACID	ESR1
N-(ALLYLOXYCARBONYL)-4-[N-(CARBOXY-FORMYL)-2-(BENZOIC ACID)-AMINO]-L-PHENYLALANINYL-AMINO-BUTYLOXY-(6-HYDROXY-BENZOIC ACID METHYL ESTER)	PTPN1
ANDROGRAPHOLIDE	NFKB2
ANDROGRAPHOLIDE	TNF
ANDROGRAPHOLIDE	IL6
ANDROGRAPHOLIDE	IL1B
ANDROGRAPHOLIDE	NFKB1
BUMETANIDE	SLC12A1
BUMETANIDE	SLC12A2
BUMETANIDE	CFTR
BUMETANIDE	SLC12A4
BUMETANIDE	SLC12A5
DECYL(DIMETHYL)PHOSPHINE OXIDE	MAOA
OXIBENDAZOLE	TUBB4B
METHIONINE	BHMT
METHIONINE	METAP2
METHIONINE	MTR
METHIONINE	BHMT2
METHIONINE	MTRR
ERTEBEREL	ESR1
ERTEBEREL	ESR2
N-ETHYL-4-{[5-(METHOXYCARBAMOYL)-2-METHYLPHENYL]AMINO}-5-METHYLPYRROLO[2,1-F][1,2,4]TRIAZINE-6-CARBOXAMIDE	MAPK14
2-(2-HYDROXY-5-METHOXY-PHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	PLAU
2-(2-HYDROXY-5-METHOXY-PHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	PRSS1
AFEGOSTAT	CELA1
TRILOSTANE	HSD3B1
TRILOSTANE	ESR2
TRILOSTANE	ESR1
TRILOSTANE	HSD3B2
BETA-D-FRUCTOFURANOSE 1,6-BISPHOSPHATE	PKLR
ALPRENOLOL	ADRB2
ALPRENOLOL	ADRB3
ALPRENOLOL	HTR1A
ALPRENOLOL	ADRB1
ESTRADIOL DIENANTHATE	HSD17B2
ESTRADIOL DIENANTHATE	ESR1
ESTRADIOL DIENANTHATE	ESRRG
ESTRADIOL DIENANTHATE	NCOA2
ESTRADIOL DIENANTHATE	GPER1
ESTRADIOL DIENANTHATE	ESR2
ESTRADIOL DIENANTHATE	BECN1
ESTRADIOL DIENANTHATE	CHRNA4
ESTRADIOL DIENANTHATE	MT-ATP6
ESTRADIOL DIENANTHATE	NR1I2
ABT-510	CXCL8
ABT-510	FGF2
ABT-510	VEGFA
ABT-510	HGF
INSULIN ASPART	INSR
(3AS)-3A-HYDROXY-5-METHYL-1-PHENYL-1,2,3,3A-TETRAHYDRO-4H-PYRROLO[2,3-B]QUINOLIN-4-ONE	MYH14
1-HYDROXY-2-S-GLUTATHIONYL-3-PARA-NITROPHENOXY-PROPANE	GSTM4
(2S)-2-(BIPHENYL-4-YLOXY)-3-PHENYLPROPANOIC ACID	PPARG
BETHANECHOL	CHRM1
BETHANECHOL	CHRM3
BETHANECHOL	CHRM4
BETHANECHOL	CHRM2
DIHOMO-GAMMA-LINOLENIC ACID	PTGS2
DIHOMO-GAMMA-LINOLENIC ACID	PTGS1
CLOPIDOGREL	P2RY12
PEGAPTANIB	NRP1
LY2181308	BIRC5
VERNAKALANT	KCNA5
VERNAKALANT	SCN5A
VERNAKALANT	KCNH2
VERNAKALANT	KCND3
ROMIPLOSTIM	MPL
PIPAMPERONE	DRD2
PIPAMPERONE	HTR2B
PIPAMPERONE	ADRA2A
PIPAMPERONE	DRD3
PIPAMPERONE	DRD4
PIPAMPERONE	HTR2A
PIPAMPERONE	DRD1
N,N-DIMETHYLARGININE	NOS3
N,N-DIMETHYLARGININE	NOS2
5-[2,3-DICHLORO-4-(5-{1-[2-(2-GUANIDINO-4-METHYL-PENTANOYLAMINO)-ACETYL]-PIPERIDIN-4-YL}-1-METHYL-1H-PYRAZOL-3-YL)-PHENOXYMETHYL]-FURAN-2-CARBOXYLIC ACID	IL2
PHOSPHOENOLPYRUVATE	SYNC
PHOSPHOENOLPYRUVATE	PCK1
PHOSPHOENOLPYRUVATE	ENO3
DEOXYURIDINE-5-DIPHOSPHATE	DUT
DEOXYURIDINE-5-DIPHOSPHATE	DUT
6-MORPHOLIN-4-YL-9H-PURINE	CHEK1
ICA-105665	KCNQ5
ICA-105665	KCNQ1
ICA-105665	KCNQ3
ICA-105665	KCNQ4
ICA-105665	KCNQ2
ZK-805623	PRSS1
EPROTIROME	THRA
EPROTIROME	THRB
(3R)-3-CYCLOPENTYL-6-METHYL-7-[(4-METHYLPIPERAZIN-1-YL)SULFONYL]-3,4-DIHYDRO-2H-1,2-BENZOTHIAZINE 1,1-DIOXIDE	GRIA2
AC-(D)PHE-PRO-BOROLYS-OH	F2
LABETALOL	ADRB1
LABETALOL	ADRB2
4-[(4-IMIDAZO[1,2-A]PYRIDIN-3-YLPYRIMIDIN-2-YL)AMINO]BENZENESULFONAMIDE	CDK2
MIV-701	CTSK
AME-527	TNF
N-FORMYLMETHIONINE	MT-ND1
N-FORMYLMETHIONINE	COX5A
N-FORMYLMETHIONINE	COX6B1
N-FORMYLMETHIONINE	MT-CO1
N-FORMYLMETHIONINE	COX6C
N-FORMYLMETHIONINE	CLPP
N-FORMYLMETHIONINE	RABGGTB
N-FORMYLMETHIONINE	COX4I1
N-FORMYLMETHIONINE	COX8A
N-FORMYLMETHIONINE	MT-CO2
N-FORMYLMETHIONINE	COX7A1
N-FORMYLMETHIONINE	RNASE1
N-FORMYLMETHIONINE	HLA-B
N-FORMYLMETHIONINE	SERPINC1
N-FORMYLMETHIONINE	B2M
N-FORMYLMETHIONINE	S100B
N-FORMYLMETHIONINE	MT-CO3
N-FORMYLMETHIONINE	COX5B
N-FORMYLMETHIONINE	S100G
N-FORMYLMETHIONINE	COX6A2
N-FORMYLMETHIONINE	RABGGTA
N-FORMYLMETHIONINE	COX7C
N-FORMYLMETHIONINE	COX7B
N-FORMYLMETHIONINE	UBC
NITRAZEPAM	GABRA1
NITRAZEPAM	GABRD
NITRAZEPAM	GABRB1
NITRAZEPAM	GABRA2
NITRAZEPAM	GABRB2
NITRAZEPAM	GABRR3
NITRAZEPAM	GABRA3
NITRAZEPAM	GABRR2
NITRAZEPAM	GABRB3
NITRAZEPAM	GABRR1
NITRAZEPAM	GABRG1
NITRAZEPAM	GABRA4
NITRAZEPAM	GABRP
NITRAZEPAM	GABRA5
NITRAZEPAM	GABRG3
NITRAZEPAM	GABRE
NITRAZEPAM	SCN1A
NITRAZEPAM	GABRG2
NITRAZEPAM	GABRQ
NITRAZEPAM	GABRA6
(S)-BLEBBISTATIN	MYH14
4,4-PROPANE-2,2-DIYLDIPHENOL	ESRRG
BIS(5-AMIDINO-BENZIMIDAZOLYL)METHANE	PRSS1
FELBINAC	CTSL
ADL 10-0101	OPRK1
2-CYTIDYLIC ACID	RNASE1
QUINAGOLIDE	DRD2
PH-284	AVPR1B
PH-284	AVPR1A
(3S)-3-AMINO-1-CHLORO-4-PHENYL-2-BUTANONE	CTRB1
3-FLUORO-4-HYDROXYBENZALDEHYDE O-(CYCLOHEXYLCARBONYL)OXIME	MIF
2-PHOSPHOGLYCOLIC ACID	ENO2
2-PHOSPHOGLYCOLIC ACID	ENO3
2-PHOSPHOGLYCOLIC ACID	PKLR
2-PHOSPHOGLYCOLIC ACID	PKM
RECOMBINANT ALPHA 1-ANTITRYPSIN	SERPINA1
VERDOHEME	HMOX1
(2R)-({4-[AMINO(IMINO)METHYL]PHENYL}AMINO){5-ETHOXY-2-FLUORO-3-[(3R)-TETRAHYDROFURAN-3-YLOXY]PHENYL}ACETICACID	F7
[4-({4-[(5-CYCLOPROPYL-1H-PYRAZOL-3-YL)AMINO]QUINAZOLIN-2-YL}IMINO)CYCLOHEXA-2,5-DIEN-1-YL]ACETONITRILE	STK26
[4-({4-[(5-CYCLOPROPYL-1H-PYRAZOL-3-YL)AMINO]QUINAZOLIN-2-YL}IMINO)CYCLOHEXA-2,5-DIEN-1-YL]ACETONITRILE	SLK
[4-({4-[(5-CYCLOPROPYL-1H-PYRAZOL-3-YL)AMINO]QUINAZOLIN-2-YL}IMINO)CYCLOHEXA-2,5-DIEN-1-YL]ACETONITRILE	CAMK2D
5-(3-HYDROXYPHENYL)ISOTHIAZOL-3(2H)-ONE 1,1-DIOXIDE	PTPN1
CARBOPROST TROMETHAMINE	PTGER1
RUPLIZUMAB	CD40LG
(2R)-2-({9-(1-METHYLETHYL)-6-[(4-PYRIDIN-2-YLBENZYL)AMINO]-9H-PURIN-2-YL}AMINO)BUTAN-1-OL	CDK2
(2R)-2-({9-(1-METHYLETHYL)-6-[(4-PYRIDIN-2-YLBENZYL)AMINO]-9H-PURIN-2-YL}AMINO)BUTAN-1-OL	CCNA2
FIMASARTAN	AGTR1
(C8-S)-HYDANTOCIDIN 5-PHOSPHATE	PURA
AMIBEGRON	ADRB3
3-BUTYLTHIOLANE 1-OXIDE	ADH1C
2-O-(4-AMIDINOPHENYL)-5-O-(3-AMIDINOPHENYL)-1,4:3,6-DIANHYDRO-D-SORBITOL	PRSS1
BETA-D-GLUCOPYRANOSE SPIROHYDANTOIN	PYGM
N-(2-AMINOETHYL)-2-{3-CHLORO-4-[(4-ISOPROPYLBENZYL)OXY]PHENYL} ACETAMIDE	PDK2
PHENACEMIDE	SCN1A
ISOSORBIDE DINITRATE	NPR1
BEZAFIBRATE	RXRA
BEZAFIBRATE	RXRB
BEZAFIBRATE	PPARG
BEZAFIBRATE	PPARD
BEZAFIBRATE	RXRG
BEZAFIBRATE	PPARA
BEZAFIBRATE	NR1I2
2-O-ACETYL ADENOSINE-5-DIPHOSPHORIBOSE	SIRT5
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE	PRKACA
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE	PKIA
PELDESINE	PNP
SGS518	HTR6
(2S)-2-(1H-INDOL-3-YL)PENTANOIC ACID	SKP1
BUTORPHANOL	OPRD1
BUTORPHANOL	OPRM1
BUTORPHANOL	OPRK1
PRASUGREL	P2RY12
(2E)-1-[2-HYDROXY-4-METHOXY-5-(3-METHYLBUT-2-EN-1-YL)PHENYL]-3-(4-HYDROXYPHENYL)PROP-2-EN-1-ONE	PLA2G2E
ABT-869	CSF1R
ABT-869	FLT1
ABT-869	FLT3
ABT-869	KIT
ABT-869	KDR
ABT-869	FLT4
NOREPINEPHRINE	PAH
NOREPINEPHRINE	ADRA2C
NOREPINEPHRINE	ADRB3
NOREPINEPHRINE	ADRA1B
NOREPINEPHRINE	SLC18A2
NOREPINEPHRINE	ADRA1A
NOREPINEPHRINE	ADRB2
NOREPINEPHRINE	ADRA2A
NOREPINEPHRINE	ADRA2B
NOREPINEPHRINE	ADRA1D
NOREPINEPHRINE	SLC18A1
NOREPINEPHRINE	ADRB1
4-(1H-IMIDAZOL-1-YL)PHENOL	NOS2
GUANOSINE-5-DIPHOSPHATE-RHAMNOSE	GMDS
LEVOFLOXACIN	TOP2A
NIALAMIDE	MAOA
NIALAMIDE	COMT
NIALAMIDE	MAOB
NALOXONE	TLR4
NALOXONE	OPRK1
NALOXONE	OPRM1
NALOXONE	CES1
NALOXONE	CREB1
NALOXONE	ESR1
NALOXONE	OPRD1
1-[4-(AMINOMETHYL)BENZOYL]-5-FLUORO-1H-SPIRO[PIPERIDINE-4,2-QUINAZOLIN]-4-AMINE	NOS2
4-OXOSEBACIC ACID	ALAD
4-[(3-CHLORO-4-{[(2R)-3,3,3-TRIFLUORO-2-HYDROXY-2-METHYLPROPANOYL]AMINO}PHENYL)SULFONYL]-N,N-DIMETHYLBENZAMIDE	PDK1
POLYTHIAZIDE	SLC12A3
STANNSOPORFIN	HMOX1
STANNSOPORFIN	HMOX2
TIOMOLIBDATE ION	APP
LEVOBUPIVACAINE	SCN10A
APD668	GPR119
8-(2,5-DIMETHOXY-BENZYL)-2-FLUORO-9-PENT-9H-PURIN-6-YLAMINE	HSP90AA1
2,3-DIDEOXYADENOSINE-5-TRIPHOSPHATE	DNTT
(4S-TRANS)-4-(METHYLAMINO)-5,6-DIHYDRO-6-METHYL-4H-THIENO(2,3-B)THIOPYRAN-2-SULFONAMIDE-7,7-DIOXIDE	CA2
LEVOTHYROXINE	THRA
LEVOTHYROXINE	THRB
N-PYRIDOXYL-GLYCINE-5-MONOPHOSPHATE	SHMT1
N-PYRIDOXYL-GLYCINE-5-MONOPHOSPHATE	ODC1
VARLITINIB	ERBB2
VARLITINIB	EGFR
SACCHARIN	CA3
4-(5-BROMO-2-OXO-2H-INDOL-3-YLAZO)-BENZENESULFONAMIDE	CDK2
DESERPIDINE	SLC18A2
5-FLUORO-1-[4-(4-PHENYL-3,6-DIHYDROPYRIDIN-1(2H)-YL)BUTYL]QUINAZOLINE-2,4(1H,3H)-DIONE	PARP1
MIVACURIUM	CHRNA2
MIVACURIUM	BCHE
MIVACURIUM	CHRM3
MIVACURIUM	CHRM2
BACLOFEN	GABBR1
BACLOFEN	GABBR2
METOCLOPRAMIDE	HTR4
METOCLOPRAMIDE	CHRM1
METOCLOPRAMIDE	DRD2
METOCLOPRAMIDE	ACHE
METOCLOPRAMIDE	HTR3A
TRICHLORMETHIAZIDE	CA1
TRICHLORMETHIAZIDE	SLC12A1
TRICHLORMETHIAZIDE	ATP1A1
TRICHLORMETHIAZIDE	CA4
TRICHLORMETHIAZIDE	CA2
PRLX 93936	VDAC3
PRLX 93936	VDAC2
CHROMIUM	CYB5A
N-(4-CHLOROPHENYL)-3-(PHOSPHONOOXY)NAPHTHALENE-2-CARBOXAMIDE	ALDOA
CIXUTUMUMAB	IGF1R
CALUSTERONE	AR
ABARELIX	GNRHR
VOLIXIBAT	SLC10A2
H TYPE II TRISACCHARIDE	ABO
HEXOCYCLIUM	CHRM2
HEXOCYCLIUM	CHRM4
HEXOCYCLIUM	CHRM3
HEXOCYCLIUM	CHRM1
AFAMELANOTIDE	MC1R
SOLIFENACIN	CHRM4
SOLIFENACIN	CHRM2
SOLIFENACIN	CHRM1
SOLIFENACIN	CHRM3
SOLIFENACIN	CHRM5
N-[O-PHOSPHONO-PYRIDOXYL]-ISOLEUCINE	BCAT2
DIENOGEST	AR
DIENOGEST	PGR
4-(FLUOROPHENYL)-1-CYCLOPROPYLMETHYL-5-(2-AMINO-4-PYRIMIDINYL)IMIDAZOLE	MAPK14
4-HYDROXY-2-BUTANONE	FKBP1A
10-PROPARGYL-5,8-DIDEAZAFOLIC ACID	TYMS
10-PROPARGYL-5,8-DIDEAZAFOLIC ACID	NQO2
METOLAZONE	SLC12A3
TENOXICAM	PTGS1
TENOXICAM	PTGS2
ROLICYCLIDINE	GRIN3A
ROLICYCLIDINE	DRD2
CRA_9785	PRSS1
PROMAZINE	DRD2
PROMAZINE	HTR2C
PROMAZINE	CHRM4
PROMAZINE	HRH1
PROMAZINE	CHRM2
PROMAZINE	ADRA1D
PROMAZINE	CHRM1
PROMAZINE	CHRM3
PROMAZINE	DRD4
PROMAZINE	ADRA1A
PROMAZINE	HTR2A
PROMAZINE	CHRM5
PROMAZINE	DRD1
PROMAZINE	ADRA1B
PROELLEX	PGR
13-DEOXYDOXORUBICIN	TOP2A
2,5-DI-(TERT-BUTYL)-1,4,BENZOHYDROQUINONE	ATP2A1
7-(AMINOMETHYL)-6-(2-CHLOROPHENYL)-1-METHYL-1H-BENZIMIDAZOLE-5-CARBONITRILE	DPP4
ARFORMOTEROL	ADRB2
AETIOCHOLANOLONE	HSD17B11
AETIOCHOLANOLONE	SULT2A1
ING-1	EPCAM
PROPRANOLOL	ADRB3
PROPRANOLOL	ADRB2
PROPRANOLOL	HTR1B
PROPRANOLOL	ADRB1
PROPRANOLOL	HTR1A
METHYL 4-(2,3-DIHYDROXY-5-METHYLPHENOXY)-2-HYDROXY-6-METHYLBENZOATE	GLO1
3-({1-[3-CARBAMIMIDOYL-1-(4-CARBAMIMIDOYL-BENZYLCARBAMOYL)-PROPYLCARBAMOYL]-2-METHYL-BUTYLSULFAMOYL}-METHYL)-BENZOIC ACID	F7
3-({4-[(5-CHLORO-1,3-BENZODIOXOL-4-YL)AMINO]PYRIMIDIN-2-YL}AMINO)BENZENESULFONAMIDE	EPHB4
N-(4-CHLOROPHENYL)-1,2,3,4-TETRAHYDROISOQUINOLINE-7-SULFONAMIDE	PNMT
OXYMORPHONE	OPRM1
OXYMORPHONE	OPRD1
AMIODARONE	PPARG
AMIODARONE	ADRB1
AMIODARONE	CACNA1H
AMIODARONE	THRA
AMIODARONE	CACNA2D2
AMIODARONE	KCNH2
AMIODARONE	THRB
FRESELESTAT	ELANE
FRESELESTAT	CELA1
ALPHA-D-GLUCOPYRANOSYL-2-CARBOXYLIC ACID AMIDE	PYGM
N-(2-HYDROXY-1,1-DIMETHYLETHYL)-1-METHYL-3-(1H-PYRROLO[2,3-B]PYRIDIN-2-YL)-1H-INDOLE-5-CARBOXAMIDE	SYK
LANREOTIDE	SSTR2
LANREOTIDE	SSTR5
SUCCINIC ACID	P4HA2
SUCCINIC ACID	SDHB
SUCCINIC ACID	PLOD1
SUCCINIC ACID	HSD17B6
SUCCINIC ACID	BBOX1
SUCCINIC ACID	SUCLA2
SUCCINIC ACID	SDHA
SUCCINIC ACID	ASPH
SUCCINIC ACID	P3H1
SUCCINIC ACID	SDHD
SUCCINIC ACID	P4HA1
SUCCINIC ACID	SUCLG2
SUCCINIC ACID	SLC13A1
SUCCINIC ACID	P3H3
SUCCINIC ACID	TMLHE
SUCCINIC ACID	SLC25A10
